iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor	gene
ENST00000371935.6	ENST00000454825.1	0.0148982437348817	0.059955530155568	[1,1.2215]	(1.2215,4]	1.2215488565149	0.557587135653971	1.0	0.888888888888889	0.382380361279611	-1.63928633896154	0.0028073443701435	0.0109991705780604	1	3	0.888888888888889	2.02166670024116	-0.613611836674804	n
ENST00000373600.7	ENST00000454453.5	0.016269847163883	0.0915194466653545	[1,3.8688]	(3.8688,4]	3.86876336552668	0.863480773656562	0.888888888888889	1.0	-5.02892325558877	0.412565383610469	0.0050064612625537	0.0041410502335949	3	1	0.888888888888889	5.44148863919924	-0.527860058734894	n
ENST00000373603.5	ENST00000423785.5	0.0748125782907261	0.030770683356226	[1,1.6217]	(1.6217,4]	1.62169243587781	1.67050095941749	1.0	0.888888888888889	-3.90505217493961	4.16451111197609	0.0166940233722017	0.034534313345394	1	3	0.888888888888889	8.06956328691571	-0.572109267858041	10783
ENST00000517814.1	ENST00000309822.7	0.522162763688871	0.436076888696584	[1,3.542]	(3.542,4]	3.54201206059129	2.36115361456529	0.888888888888889	1.0	1.00405308185899	-1.20852903003646	0.0047865707497787	0.0272354923677869	3	1	0.888888888888889	2.21258211189545	-0.263676783980217	84294
ENST00000523431.5	ENST00000523361.5	0.0267501420688379	0.0356478253296949	[1,3.1803]	(3.1803,4]	3.18027339443767	0.802799468137818	0.888888888888889	1.0	-1.03446281622283	1.61940834195826	0.0161282231751437	0.045387663822053	3	1	0.888888888888889	2.65387115818109	-0.180946760480349	79752
ENST00000518517.5	ENST00000520795.5	0.205638647660393	0.239729676958625	[1,3.3266]	(3.3266,4]	3.32657618120681	17.479506007605	0.888888888888889	1.0	-9.69331300007636	17.4304218143076	0.0267677805749906	0.0079018453807363	3	1	0.888888888888889	27.123734814384	-0.732892136031653	7163
ENST00000678039.1	ENST00000524349.5	0.0005314225354897	0.0008602366169994	[1,3.5872]	(3.5872,4]	3.58718738433994	1.57775557070607	0.888888888888889	1.0	-1.36126939693239	1.31177865392592	0.0074673100340492	0.0342272740507064	3	1	0.888888888888889	2.67304805085831	-0.509635278012616	6224
ENST00000484416.5	ENST00000464834.5	0.0255668162770125	0.042144750705305	[1,1.5995]	(1.5995,4]	1.59946065023887	0.668285296444255	1.0	0.888888888888889	1.22179622451228	-0.839913865352964	0.0136192086860614	0.0009532099846781	1	3	0.888888888888889	2.06171008986524	-0.682434727603965	n
ENST00000223054.8	ENST00000393950.7	0.382200264717264	0.548287998095022	[1,3.6471]	(3.6471,4]	3.64710667564221	4.11932406988864	0.888888888888889	1.0	-2.87945046827059	1.67867887954344	0.0048848996311047	0.0398589399137955	3	1	0.888888888888889	4.55812934781403	-0.356569771619449	64598
ENST00000450873.6	ENST00000284957.9	0.203781545508305	0.259454849457407	[1,1.656]	(1.656,4]	1.6560089523954	5.76745482620861	1.0	0.888888888888889	0.802559229234303	-2.03823677363925	0.0495452295057898	0.0048954236303364	1	3	0.888888888888889	2.84079600287355	-0.866018984721624	27342
