iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000582084.1	ENST00000590153.1	0.215608012791125	0.245923240606362	[1,3.3835]	(3.3835,4]	3.38347196979771	3.21968119303194	0.777777777777778	1	-1.92117587959558	3.90084234951565	0.0284440276603385	0.0184518004604378	3	1	0.777777777777778	5.82201822911123	-0.783855935530694
ENST00000341712.8	ENST00000429184.7	0.204518638171114	0.18084218302264	[1,3.4138]	(3.4138,4]	3.41381985257066	7.84615061692655	0.777777777777778	1	2.23182176274083	-1.95685122601362	0.0172037558688446	0.0289191895054089	3	1	0.777777777777778	4.18867298875444	0.566213971336565
ENST00000318059.8	ENST00000571178.1	0.327262450873866	0.139702695861152	[1,3.6308]	(3.6308,4]	3.63076338013464	8.50661636140581	0.777777777777778	1	12.3859726539101	-8.43358237977298	0.00451830979412125	0.00157140599661869	3	1	0.777777777777778	20.8195550336831	-0.86394401478591
ENST00000392920.8	ENST00000557153.5	0.343317264222702	0.286412239228691	[1,3.4608]	(3.4608,4]	3.46076276453469	4.20809052215835	0.777777777777778	1	2.06944967826766	-3.13669770920907	0.0316933619199419	0.00356643328629983	3	1	0.777777777777778	5.20614738747673	-0.8240315885317
ENST00000678502.1	ENST00000553781.5	0.337287583597784	0.445453310355768	[1,1.888]	(1.888,4]	1.88798249216388	2.15025590135949	1	0.777777777777778	-5.46887008343036	0.961032675892329	0.0107433058148941	0.0107706816003154	1	3	0.777777777777778	6.42990275932269	0.177399223910267
ENST00000420353.7	ENST00000591397.1	0.43019842493377	0.492101306484638	[1,3.1355]	(3.1355,4]	3.13548972906604	7.3925587711068	0.777777777777778	1	-1.81670957380585	1.22537462862162	0.00530285311323614	0.0394152406102905	3	1	0.777777777777778	3.04208420242747	-0.36692469435816
ENST00000266579.9	ENST00000550670.1	0.316164211061943	0.297080896051383	[1,3.4495]	(3.4495,4]	3.44945876354132	13.2770566204016	0.777777777777778	1	1.69141477340918	-2.34156737290347	0.038819810056096	0.0462389380110268	3	1	0.777777777777778	4.03298214631265	0.834729644321993
ENST00000527779.1	ENST00000525420.1	0.24601031294885	0.286558092462182	[1,3.6069]	(3.6069,4]	3.60694332781293	6.88180789194501	0.777777777777778	1	-2.6551571596939	1.98771923330378	0.0258269670545992	0.0388619316089486	3	1	0.777777777777778	4.64287639299768	0.791650804400909
ENST00000310300.11	ENST00000619071.4	0.537808920025575	0.460420589397348	[1,3.5151]	(3.5151,4]	3.51513984859511	4.12429278595261	0.777777777777778	1	1.42632157890994	-1.56417523911361	0.034262366220189	0.0203000777847765	3	1	0.777777777777778	2.99049681802355	-0.700535981745844
ENST00000434031.6	ENST00000644185.1	0.259641610384024	0.273727743475743	[1,3.5046]	(3.5046,4]	3.50459975846187	838.867115604834	0.777777777777778	1	-233.232878680159	521.913095234495	0.034458033103467	0.0281535136859627	3	1	0.777777777777778	755.145973914654	-0.565636684789729
ENST00000350210.6	ENST00000361361.7	0.260964375379111	0.290158109023077	[1,3.446]	(3.446,4]	3.4460012050932	5.16990461097797	0.777777777777778	1	-1.37469168914995	1.85317840288927	0.0176215142020244	0.0256080173530616	3	1	0.777777777777778	3.22787009203922	-0.385301123100155
ENST00000424629.5	ENST00000435550.5	0.142867216017653	0.19778914131773	[1,3.4966]	(3.4966,4]	3.49656493970672	3.13133544371092	0.333333333333333	0	-1.59241670758548	1.31779564938587	0.0370396783160331	0.0273349605476597	3	1	0.666666666666667	2.91021235697135	-0.38163650452988
ENST00000398868.8	ENST00000538786.1	0.427697517949612	0.448805381482231	[1,2.4347]	(2.4347,4]	2.43469624665221	14.634389626389	0.833333333333333	0.833333333333333	-3.64244819915858	2.17452860189983	0.0218738538065437	0.0497123178356859	2	2	0.666666666666667	5.81697680105842	-0.170922390751005
ENST00000459701.6	ENST00000460921.1	0.36155469034007	0.311000556454849	[1,2.2502]	(2.2502,4]	2.25017121317804	4.02543035567137	0.833333333333333	0.833333333333333	-0.871958635181328	2.07659568031408	0.0239827571194626	0.0315731061368926	2	2	0.666666666666667	2.9485543154954	-0.529049532111138
ENST00000377263.6	ENST00000377256.1	0.430448406778876	0.421366835187369	[1,2.6699]	(2.6699,4]	2.66994286546234	12.2988655442458	0.833333333333333	0.833333333333333	-4.22851769096556	4.73304687727677	0.0337337392015969	0.0285361260691952	2	2	0.666666666666667	8.96156456824233	0.214595426658007
ENST00000679827.1	ENST00000681956.1	0.207005842819651	0.201110773114906	[1,3.1511]	(3.1511,4]	3.15105448523627	10.2848744286808	0.666666666666667	1	-1.51100751922386	5.63990390056169	0.0373864078409946	0.00119925273569572	3	1	0.666666666666667	7.15091141978555	-0.296633202177723
ENST00000529930.1	ENST00000336564.5	0.360137565066241	0.312988562801363	[1,3.0546]	(3.0546,4]	3.05460737087171	3.00534673960458	0.666666666666667	1	1.0532645083479	-1.35045315714511	0.0448424612142714	0.0212646458579928	3	1	0.666666666666667	2.40371766549302	0.115883811287729
ENST00000078429.9	ENST00000587636.1	0.48087856046281	0.488436498331069	[1,3.1271]	(3.1271,4]	3.12714935058242	12.6662537477603	0.666666666666667	1	1.81873482340336	-6.26503062146339	0.0493063787424823	0.00730955937724981	3	1	0.666666666666667	8.08376544486675	-0.601275921218796
